Date;Flow
1964-03-01;59.1071
1964-03-02;64.2724
1964-03-03;69.6264
1964-03-04;79.4443
1964-03-05;80.893
1964-03-06;108.906
1964-03-07;144.226
1964-03-08;188.004
1964-03-09;175.562
1964-03-10;151.807
1964-03-11;144.226
1964-03-12;144.226
1964-03-13;144.226
1964-03-14;163.495
1964-03-15;190.114
1964-03-16;218.475
1964-03-17;246.176
1964-03-18;246.176
1964-03-19;220.728
1964-03-20;194.365
1964-03-21;167.476
1964-03-22;144.226
1964-03-23;126.023
1964-03-24;122.512
1964-03-25;138.652
1964-03-26;163.495
1964-03-27;188.004
1964-03-28;220.728
1964-03-29;222.991
1964-03-30;214.0
1964-03-31;207.363
1964-04-01;214.0
1964-04-02;200.818
1964-04-03;179.668
1964-04-04;159.557
1964-04-05;140.499
1964-04-06;122.512
1964-04-07;105.614
1964-04-08;99.1643
1964-04-09;96.0063
1964-04-10;99.1643
1964-04-11;100.76
1964-04-12;129.578
1964-04-13;171.498
1964-04-14;232.145
1964-04-15;300.682
1964-04-16;627.696
1964-04-17;769.71
1964-04-18;907.404
1964-04-19;920.028
1964-04-20;886.534
1964-04-21;878.245
1964-04-22;903.213
1964-04-23;1037.07
1964-04-24;1037.07
1964-04-25;1001.75
1964-04-26;958.358
1964-04-27;865.877
1964-04-28;777.534
1964-04-29;689.66
1964-04-30;571.725
1964-05-01;511.512
1964-05-02;476.168
1964-05-03;454.256
1964-05-04;441.938
1964-05-05;426.75
1964-05-06;400.0
1964-05-07;371.171
1964-05-08;348.791
1964-05-09;321.678
1964-05-10;298.102
1964-05-11;272.833
1964-05-12;250.933
1964-05-13;236.782
1964-05-14;222.991
1964-05-15;209.565
1964-05-16;200.818
1964-05-17;190.114
1964-05-18;179.668
1964-05-19;169.482
1964-05-20;163.495
1964-05-21;157.603
1964-05-22;151.807
1964-05-23;147.995
1964-05-24;144.226
1964-05-25;140.499
1964-05-26;136.816
1964-05-27;133.175
1964-05-28;133.175
1964-05-29;133.175
1964-05-30;133.175
1964-05-31;131.371
1964-06-01;131.371
1964-06-02;131.371
1964-06-03;129.578
1964-06-04;131.371
1964-06-05;133.175
1964-06-06;140.499
1964-06-07;144.226
1964-06-08;147.995
1964-06-09;151.807
1964-06-10;149.895
1964-06-11;147.995
1964-06-12;146.105
1964-06-13;144.226
1964-06-14;140.499
1964-06-15;136.816
1964-06-16;133.175
1964-06-17;129.578
1964-06-18;126.023
1964-06-19;124.262
